#    L    TT             EE             BB             TE          
   137    0.39166E+04    0.10637E+01    0.54253E-02   -0.42414E+02
   138    0.39504E+04    0.10644E+01    0.55099E-02   -0.42697E+02
   139    0.39838E+04    0.10649E+01    0.55953E-02   -0.42961E+02
   140    0.40174E+04    0.10647E+01    0.56815E-02   -0.43205E+02
   141    0.40507E+04    0.10641E+01    0.57686E-02   -0.43429E+02
   142    0.40840E+04    0.10630E+01    0.58565E-02   -0.43632E+02
   143    0.41172E+04    0.10615E+01    0.59452E-02   -0.43815E+02
   144    0.41502E+04    0.10595E+01    0.60349E-02   -0.43976E+02
   145    0.41830E+04    0.10571E+01    0.61254E-02   -0.44116E+02
   146    0.42159E+04    0.10542E+01    0.62167E-02   -0.44234E+02
   147    0.42484E+04    0.10509E+01    0.63090E-02   -0.44329E+02
   148    0.42807E+04    0.10471E+01    0.64022E-02   -0.44402E+02
   149    0.43130E+04    0.10429E+01    0.64962E-02   -0.44452E+02
   150    0.43450E+04    0.10384E+01    0.65911E-02   -0.44477E+02
   151    0.43768E+04    0.10334E+01    0.66870E-02   -0.44479E+02
   152    0.44083E+04    0.10280E+01    0.67838E-02   -0.44458E+02
   153    0.44397E+04    0.10222E+01    0.68814E-02   -0.44410E+02
   154    0.44709E+04    0.10160E+01    0.69800E-02   -0.44338E+02
   155    0.45018E+04    0.10095E+01    0.70795E-02   -0.44242E+02
   156    0.45323E+04    0.10027E+01    0.71800E-02   -0.44122E+02
   157    0.45628E+04    0.99548E+00    0.72813E-02   -0.43975E+02
   158    0.45930E+04    0.98803E+00    0.73836E-02   -0.43803E+02
   159    0.46229E+04    0.98016E+00    0.74869E-02   -0.43606E+02
   160    0.46525E+04    0.97202E+00    0.75910E-02   -0.43382E+02
   161    0.46819E+04    0.96369E+00    0.76961E-02   -0.43133E+02
   162    0.47110E+04    0.95502E+00    0.78022E-02   -0.42858E+02
   163    0.47400E+04    0.94609E+00    0.79092E-02   -0.42557E+02
   164    0.47685E+04    0.93696E+00    0.80171E-02   -0.42231E+02
   165    0.47968E+04    0.92756E+00    0.81260E-02   -0.41877E+02
   166    0.48248E+04    0.91805E+00    0.82358E-02   -0.41497E+02
   167    0.48526E+04    0.90820E+00    0.83465E-02   -0.41092E+02
   168    0.48800E+04    0.89839E+00    0.84582E-02   -0.40659E+02
   169    0.49070E+04    0.88831E+00    0.85708E-02   -0.40199E+02
   170    0.49337E+04    0.87819E+00    0.86844E-02   -0.39713E+02
   171    0.49599E+04    0.86803E+00    0.87988E-02   -0.39199E+02
   172    0.49858E+04    0.85775E+00    0.89142E-02   -0.38658E+02
   173    0.50112E+04    0.84736E+00    0.90305E-02   -0.38091E+02
   174    0.50363E+04    0.83716E+00    0.91478E-02   -0.37497E+02
   175    0.50610E+04    0.82684E+00    0.92659E-02   -0.36876E+02
   176    0.50851E+04    0.81664E+00    0.93850E-02   -0.36227E+02
   177    0.51089E+04    0.80647E+00    0.95049E-02   -0.35552E+02
   178    0.51322E+04    0.79656E+00    0.96258E-02   -0.34850E+02
   179    0.51551E+04    0.78661E+00    0.97475E-02   -0.34121E+02
   180    0.51776E+04    0.77685E+00    0.98701E-02   -0.33365E+02
   181    0.51996E+04    0.76728E+00    0.99936E-02   -0.32584E+02
   182    0.52211E+04    0.75797E+00    0.10118E-01   -0.31776E+02
   183    0.52421E+04    0.74884E+00    0.10243E-01   -0.30942E+02
   184    0.52628E+04    0.73998E+00    0.10369E-01   -0.30081E+02
   185    0.52829E+04    0.73153E+00    0.10496E-01   -0.29196E+02
   186    0.53022E+04    0.72334E+00    0.10624E-01   -0.28284E+02
   187    0.53214E+04    0.71557E+00    0.10753E-01   -0.27346E+02
   188    0.53401E+04    0.70820E+00    0.10882E-01   -0.26384E+02
   189    0.53581E+04    0.70125E+00    0.11012E-01   -0.25396E+02
   190    0.53760E+04    0.69480E+00    0.11143E-01   -0.24385E+02
   191    0.53929E+04    0.68885E+00    0.11275E-01   -0.23347E+02
   192    0.54095E+04    0.68344E+00    0.11408E-01   -0.22285E+02
   193    0.54255E+04    0.67860E+00    0.11541E-01   -0.21200E+02
   194    0.54412E+04    0.67437E+00    0.11675E-01   -0.20091E+02
   195    0.54562E+04    0.67078E+00    0.11810E-01   -0.18959E+02
